"Date","Price","Open","High","Low","Change %"
"03/31/2026","98.53","98.52","98.53","98.53","0.01%"
"03/30/2026","98.52","98.52","98.52","98.52","0.34%"
"03/28/2026","98.19","98.35","98.19","98.19","0.00%"
"03/27/2026","98.19","98.35","98.19","98.19","-0.16%"
"03/26/2026","98.35","98.35","98.35","98.35","0.04%"
"03/25/2026","98.31","98.55","98.55","98.31","0.02%"
"03/24/2026","98.29","98.29","98.29","98.29","0.91%"
"03/23/2026","97.40","97.40","97.40","97.40","-0.97%"
"03/20/2026","98.35","98.34","98.35","98.34","0.10%"
"03/19/2026","98.25","98.29","98.25","98.25","-0.05%"
"03/18/2026","98.30","98.29","98.30","98.30","-0.11%"
"03/17/2026","98.41","98.29","98.41","98.41","0.12%"
"03/16/2026","98.29","98.29","98.29","98.29","0.16%"
"03/13/2026","98.13","98.24","98.24","98.13","-0.34%"
"03/12/2026","98.46","98.66","98.46","98.46","-0.14%"
"03/11/2026","98.60","98.66","98.60","98.60","-0.06%"
"03/10/2026","98.66","98.66","98.66","98.66","-0.05%"
"03/09/2026","98.71","98.76","98.71","98.71","-0.07%"
"03/06/2026","98.78","98.76","98.78","98.76","0.05%"
"03/05/2026","98.73","98.64","98.73","98.73","-0.08%"
"03/04/2026","98.81","98.64","98.81","98.81","0.24%"
"03/03/2026","98.57","98.64","98.64","98.57","0.00%"
"03/02/2026","98.57","99.09","98.57","98.57","-0.52%"
"02/27/2026","99.09","99.09","99.09","99.09","0.14%"
"02/26/2026","98.95","98.90","98.95","98.95","0.05%"
"02/25/2026","98.90","98.90","98.90","98.90","-0.12%"
"02/24/2026","99.02","99.02","99.02","99.02","0.06%"
"02/23/2026","98.96","98.96","98.96","98.96","-0.03%"
"02/21/2026","98.99","98.93","98.99","98.99","0.06%"
"02/20/2026","98.93","98.93","98.93","98.93","0.01%"
"02/19/2026","98.92","98.92","98.92","98.92","0.02%"
"02/18/2026","98.90","98.90","98.90","98.90","-0.02%"
